text,intent
"Pull out all important dates and financial obligations from this lease. besides that, i'm concerned about the penalty clauses in section 7 - could you review.",Intent_Lease_Abstraction;Intent_Clause_Protect
"We have three broker sales packages for the 42nd St Can you give me a side-by-side summary of building. pricing, cap rate, and avg. PSF?",Intent_Sales_Listings_Comparison
"Extract the key financial terms this lease - rent, escalations, from and fees.",Intent_Lease_Abstraction
"We have three broker sales packages for rate, the 42nd St building. Can you give me a side-by-side summary of pricing, cap and avg. PSF?",Intent_Sales_Listings_Comparison
the different sales packages for the Analyze commercial building.,Intent_Sales_Listings_Comparison
"Provide me what changed between our loi and the final lease agreement. furthermore, extract the new terms from amendment #2 to the original agreement.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
Please extract deadline dates from all the purchase agreement - we need to track every step.,Intent_Transaction_Date_navigator
Analyze the lease options for the most warehouse favorable conditions.,Intent_Lease_Listings_Comparison
"Compare the signed lease to the LOI we submitted last month. I want to know what terms got changed or added, especially around TI Moreover, allowances. summarize what changed in the recent lease amendment.",Intent_Comparison_LOI_Lease;Intent_Amendment_Abstraction
"Hi team, Can you pull together a schedule of important dates for the escrow process on the 125 King St deal? Thanks! We're especially concerned with closing and due diligence periods.",Intent_Transaction_Date_navigator
Identify differences executed between the proposed and lease terms.,Intent_Comparison_LOI_Lease
"Research the development firm before we proceed with negotiations. plus, examine if there are adequate tenant protections in this lease agreement.",Intent_Company_research;Intent_Clause_Protect
terms Show me the best lease among these available spaces.,Intent_Lease_Listings_Comparison
"Kindly abstract the lease for the johnson project (pdf attached). we must have to know the base rent, commencement and expiry dates, renewal options, and escalation schedule. in addition, flag kindly any missing or weak indemnification clauses in the lease.",Intent_Lease_Abstraction;Intent_Clause_Protect
Kindly summarize the for changes from the latest amendment to the original lease the grandview tower property.,Intent_Amendment_Abstraction
"Extract the key financial terms from this lease - rent, escalations, that, and fees. Besides review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Lease_Abstraction;Intent_Clause_Protect
Assist me organize all the dates transaction for the retail space deal in downtown.,Intent_Transaction_Date_navigator
"Require a complete abstract of office the lease focusing on term and rent details. besides that, summarize what changed in the recent lease amendment.",Intent_Lease_Abstraction;Intent_Amendment_Abstraction
"Could you do a background check on Wexford Corp before we proceed? I'm particularly interested in any public disputes or bankruptcies in the past 5 years. Moreover, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Company_research;Intent_Clause_Protect
"Must have a timeline for all key dates in the property closing - escrow, inspections, and final walkthrough. besides that, review the lease for any problematic clauses - particularly around liability and insurance.",Intent_Transaction_Date_navigator;Intent_Clause_Protect
"Must have a complete abstract of the office lease focusing on term and rent details. while we're at it, what modifications were made in the latest lease amendment?",Intent_Lease_Abstraction;Intent_Amendment_Abstraction
What were terms added or changed during lease negotiations?,Intent_Comparison_LOI_Lease
"Compare the property listings - pricing, cap rates, and three PSF analysis.",Intent_Sales_Listings_Comparison
"Which of these retail spaces offers the best lease terms? Furthermore, check if there are any red flags about this real estate company.",Intent_Lease_Listings_Comparison;Intent_Company_research
Compare available office spaces - rates and lease analysis. terms,Intent_Lease_Listings_Comparison
"Make a summary of the warehouse lease highlighting critical terms. furthermore, extract the new terms from amendment #2 to the original agreement.",Intent_Lease_Abstraction;Intent_Amendment_Abstraction
Pull and out all important dates financial obligations from this lease.,Intent_Lease_Abstraction
